active_guide_count,angular_uniformity_error,assignment_status,assignment_switch_count,assignment_valid,boundary_confidence_status,boundary_v2_method,boundary_v2_status,boundary_valid,config,coverage_ratio,deployment_valid,environment,episode_control_steps,episode_converged,episode_final_tracking_rmse,episode_status,evaluation_boundary_source,evaluation_status,execution_success,failure_reason,guide_crowd_safety_violation_count,heterogeneity,initial_endpoint_coverage_ratio,initial_endpoint_max_euclidean_boundary_distance,max_boundary_gap,max_euclidean_boundary_distance,method_status,metrics_position_source,minimum_guide_crowd_distance,minimum_guide_guide_distance,minimum_guide_wall_distance,minimum_inter_guider_distance,periodic_max_arc_gap,periodic_plan_status,plan_valid,radial_deployment_error,reserve_guide_count,resource_status,resource_unmet_target_count,resource_valid,safety_filter_status,safety_infeasible_steps,safety_max_residual_after,safety_projected_steps,sampled_safety_valid,scientific_success,seed,shape,truth_component_count
11,0.22872379746003244,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_ellipse.yaml,1.0,True,square,36,True,0.0031998370227482283,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9569444444444445,1.6706988913754561,1.1925630072693887,1.1925630072693887,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000325824569,0.6600337753015814,5.104825236892683,0.6600337753015814,2.2841971086590362,VALID,True,0.712655323720941,1,VALID,0,True,ENABLED_PR5,0,5.551115123125783e-17,36,True,True,3,ellipse,1
10,0.23904425320548014,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_concave.yaml,0.8805555555555555,True,square,37,True,0.0019591144031513488,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8791666666666667,1.9904691904856462,2.04698421822237,2.04698421822237,converged_pr5_safety_filtered_episode,episode_final_frame,0.850000006094263,1.1183526855118249,6.403442901850445,1.1183526855118249,2.457480940507942,VALID,True,0.5733889956340168,2,VALID,0,True,ENABLED_PR5,0,5.551115123125783e-17,36,True,True,2,concave,1
11,0.23282203136693386,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_concave.yaml,0.9555555555555556,True,square,46,True,0.005017513214516938,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8458333333333333,2.611715347984089,1.4140308212928347,1.4140308212928347,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000010097847,1.0215691571958012,6.358997979461023,1.0215691571958012,2.397009905244218,VALID,True,0.6051207836549195,1,VALID,0,True,ENABLED_PR5,0,1.3877787807814457e-16,46,True,True,3,concave,1
10,0.18771156637566727,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_concave.yaml,0.8833333333333333,True,square,39,True,0.007851341747722585,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8194444444444444,2.8182322147022463,2.407698287274703,2.407698287274703,converged_pr5_safety_filtered_episode,episode_final_frame,0.850000005649867,1.0666915972052806,6.144716295720844,1.0666915972052806,2.4231193272211513,VALID,True,0.519830205202043,2,VALID,0,True,ENABLED_PR5,0,8.326672684688674e-17,39,True,True,0,concave,1
11,0.10907952516105503,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_concave.yaml,0.9083333333333333,True,square,36,True,0.010226670914164454,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8472222222222222,2.631168033628431,1.7636911162416065,1.7636911162416065,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000013552842,1.025796828800689,6.378827548452273,1.025796828800689,2.2792420946784766,VALID,True,0.6191998529029701,1,VALID,0,True,ENABLED_PR5,0,5.551115123125783e-17,36,True,True,4,concave,1
0,0.08333333333333393,ASSIGNMENT_SKIPPED_PLAN_INVALID,0,False,not_available,alpha_shape,BOUNDARY_INVALID,False,rectangle_circle.yaml,1.0,False,rectangle,0,False,not_available,BOUNDARY_INVALID,analytic_truth_safety_offset,valid,False,BOUNDARY_INVALID,0,True,1.0,1.1900942189255537,1.1900942189255537,1.1900942189255537,diagnostic_only,endpoint_baseline_no_episode,not_available,not_available,not_available,1.5424822938674505,not_available,PLAN_SKIPPED_BOUNDARY_INVALID,False,0.5100581418633178,0,RESOURCE_SKIPPED_BOUNDARY_INVALID,0,False,not_available,0,not_available,0,False,False,1,circle,1
11,0.16393740254675687,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_irregular.yaml,0.9916666666666667,True,square,37,True,0.0025917631212149512,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9513888888888888,1.5405275282411164,1.290445663261024,1.290445663261024,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000034067766,1.1380219979748258,5.644599914425262,1.1380219979748258,2.334160384788337,VALID,True,0.5682650557572281,1,VALID,0,True,ENABLED_PR5,0,1.1102230246251565e-16,37,True,True,0,irregular,1
11,0.15847555655722756,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_irregular.yaml,0.9902777777777778,True,square,36,True,0.002309735442591356,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9805555555555555,1.3700339772263408,1.3163880207061276,1.3163880207061276,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000024611616,1.0791021547629858,5.678325915215849,1.0791021547629858,2.319771334864612,VALID,True,0.40068722433890985,1,VALID,0,True,ENABLED_PR5,0,1.1102230246251565e-16,36,True,True,1,irregular,1
11,0.1971439829317132,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_irregular.yaml,0.9916666666666667,True,square,36,True,0.005540719466339608,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9194444444444444,1.517502503521455,1.282132250519798,1.282132250519798,converged_pr5_safety_filtered_episode,episode_final_frame,0.850000001522176,1.1884815524563868,5.615825378765858,1.1884815524563868,2.3480672658829302,VALID,True,0.6520489060098562,1,VALID,0,True,ENABLED_PR5,0,1.1102230246251565e-16,36,True,True,2,irregular,1
10,0.2651520439754693,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_circle.yaml,1.0,True,rectangle,36,True,0.00440197263392749,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,1.0,1.1897124405056119,1.2155788816963453,1.2155788816963453,converged_pr5_safety_filtered_episode,episode_final_frame,0.850000001161928,0.8653522395904143,4.231194026828252,0.8653522395904143,2.319909114252628,VALID,True,0.44052469114598497,2,VALID,0,True,ENABLED_PR5,0,5.551115123125783e-17,36,True,True,0,circle,1
