shape,seed,variant,min_observation_coverage,valid,boundary_status,boundary_reason,boundary_method,curve_chamfer,curve_hausdorff,length_relative_error,confidence_mean,confidence_min,uncertainty_mean,plan_status,plan_h_initial,plan_h_final,plan_iterations,plan_max_arc_gap
c_shape,0,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.11871872520295987,0.4661696358642047,0.0001305787713269474,0.3819697792481366,0.15,0.13634527372511662,VALID,5.397480363180353,5.328097275247511,247,1.7471752935106686
c_shape,0,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.11871872520295987,0.4661696358642047,0.0001305787713269474,0.3819697792481366,0.15,0.13634527372511662,VALID,5.397480363180353,5.328096480969437,88,1.7469530002551643
c_shape,0,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.11871872520295987,0.4661696358642047,0.0001305787713269474,1.0,1.0,0.0,VALID,5.397480363180353,5.328096480969437,88,1.7469530002551643
c_shape,0,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.35693233550078346,1.1252559070636485,0.2978095990184398,1.0,1.0,0.0,VALID,2.706808171795766,2.6574760946965985,65,1.4721581204352727
c_shape,1,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.15827867628506676,0.4207456347405974,0.0380658562037538,0.3798853447535216,0.15,0.12107627178089048,VALID,4.806149012772139,4.744367372017514,257,1.6808997164054276
c_shape,1,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.15827867628506676,0.4207456347405974,0.0380658562037538,0.3798853447535216,0.15,0.12107627178089048,VALID,4.806149012772139,4.744366615328863,88,1.680673198794036
c_shape,1,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.15827867628506676,0.4207456347405974,0.0380658562037538,1.0,1.0,0.0,VALID,4.806149012772139,4.744366615328863,88,1.680673198794036
c_shape,1,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.35835002598765897,1.0339777152387406,0.31462987322080965,1.0,1.0,0.0,VALID,2.5169137117902953,2.47104249617341,65,1.4368940336286808
c_shape,2,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.1366094842053263,0.40491924741086066,0.030449083455128104,0.3821773612373332,0.15,0.1882001463217259,VALID,5.908004574056216,5.832058936496322,261,1.8005993698308913
c_shape,2,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.1366094842053263,0.40491924741086066,0.030449083455128104,0.3821773612373332,0.15,0.1882001463217259,VALID,5.908004574056216,5.832057971959389,88,1.800381209518381
c_shape,2,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.1366094842053263,0.40491924741086066,0.030449083455128104,1.0,1.0,0.0,VALID,5.908004574056216,5.832057971959389,88,1.800381209518381
c_shape,2,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.362579304061679,1.0790198347837876,0.31121845279212795,1.0,1.0,0.0,VALID,2.554684805270139,2.508125204523092,65,1.4440461540212173
c_shape,3,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.1387841151508398,0.39891970234479346,0.08224515460068664,0.37714059193230165,0.15,0.10609613108056627,VALID,4.173892594342441,4.1202385216243655,276,1.603751539386215
c_shape,3,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.1387841151508398,0.39891970234479346,0.08224515460068664,0.37714059193230165,0.15,0.10609613108056627,VALID,4.173892594342441,4.1202377678974145,88,1.6034839616345984
c_shape,3,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.1387841151508398,0.39891970234479346,0.08224515460068664,1.0,1.0,0.0,VALID,4.173892594342441,4.1202377678974145,88,1.6034839616345984
c_shape,3,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3503143382173358,1.3361502592887318,0.32410177926143047,1.0,1.0,0.0,VALID,2.413996986203279,2.370001446851286,65,1.4170359675340602
c_shape,4,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.09425559781569452,0.3882067789930873,0.07817329479765772,0.38300710804761046,0.15,0.12659938265937673,VALID,4.229695150198722,4.175323679821015,249,1.610882860658388
c_shape,4,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.09425559781569452,0.3882067789930873,0.07817329479765772,0.38300710804761046,0.15,0.12659938265937673,VALID,4.229695150198722,4.175322989423214,88,1.6105982383076238
c_shape,4,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.09425559781569452,0.3882067789930873,0.07817329479765772,1.0,1.0,0.0,VALID,4.229695150198722,4.175322989423214,88,1.6105982383076238
c_shape,4,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3496941837161679,1.080463930135948,0.3066878334249848,1.0,1.0,0.0,VALID,2.605429213644587,2.557944786715778,65,1.4535447004021087
c_shape,5,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.16769481824094967,0.5245348463781836,0.17820372393923065,0.4044453401372528,0.15,0.14377775976821705,VALID,2.996772107403473,2.9582494037760756,227,1.4360097976311401
c_shape,5,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.16769481824094967,0.5245348463781836,0.17820372393923065,0.4044453401372528,0.15,0.14377775976821705,VALID,2.996772107403473,2.958249006081705,88,1.4358269585829735
c_shape,5,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.16769481824094967,0.5245348463781836,0.17820372393923065,1.0,1.0,0.0,VALID,2.996772107403473,2.958249006081705,88,1.4358269585829735
c_shape,5,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3602175882815035,1.3534597823375953,0.3311209139237937,1.0,1.0,0.0,VALID,2.339567959600014,2.296928902955981,65,1.4023201923295279
c_shape,6,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.1257818562176461,0.4947063905076649,0.08079502597080127,0.4142359759638487,0.15,0.15476485970112036,VALID,4.193709160674781,4.139800143655918,222,1.6061802802631355
c_shape,6,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.1257818562176461,0.4947063905076649,0.08079502597080127,0.4142359759638487,0.15,0.15476485970112036,VALID,4.193709160674781,4.139799594941844,88,1.6060175990345904
c_shape,6,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.1257818562176461,0.4947063905076649,0.08079502597080127,1.0,1.0,0.0,VALID,4.193709160674781,4.139799594941844,88,1.6060175990345904
c_shape,6,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3654698490004473,1.2459880518189592,0.3452208924711958,1.0,1.0,0.0,VALID,2.194710568166361,2.1547115641411456,65,1.3727592671338744
c_shape,7,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.09592356246941527,0.37645818553018773,0.05236163379915509,0.4067498421963906,0.15,0.15074585778539767,VALID,4.595038102263559,4.535970196922439,241,1.6559108565625245
c_shape,7,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.09592356246941527,0.37645818553018773,0.05236163379915509,0.4067498421963906,0.15,0.15074585778539767,VALID,4.595038102263559,4.535969507106267,88,1.6556958857259154
c_shape,7,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.09592356246941527,0.37645818553018773,0.05236163379915509,1.0,1.0,0.0,VALID,4.595038102263559,4.535969507106267,88,1.6556958857259154
c_shape,7,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3401699202178122,1.2090241304020992,0.29147843467201917,1.0,1.0,0.0,VALID,2.7806865377040397,2.730008013789422,65,1.4854315502505493
c_shape,8,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.12964661954996104,0.6416207545455365,0.1260031637567371,0.37854584063292906,0.15,0.1095832002215932,VALID,3.6048798359860306,3.5585401151683898,245,1.5272181657087458
c_shape,8,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.12964661954996104,0.6416207545455365,0.1260031637567371,0.37854584063292906,0.15,0.1095832002215932,VALID,3.6048798359860306,3.5585395918175133,88,1.5270307930934273
c_shape,8,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.12964661954996104,0.6416207545455365,0.1260031637567371,1.0,1.0,0.0,VALID,3.6048798359860306,3.5585395918175133,88,1.5270307930934273
c_shape,8,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3618288872588974,1.0932506988595494,0.3111663575965963,1.0,1.0,0.0,VALID,2.555264511003164,2.5086943450124415,65,1.4441553727815855
c_shape,9,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.13113670784979892,0.5111461250186539,0.025396830024891712,0.39542848121652496,0.15,0.1355781570625899,VALID,4.998557242019235,4.934302366490215,272,1.7030527382439011
c_shape,9,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.13113670784979892,0.5111461250186539,0.025396830024891712,0.39542848121652496,0.15,0.1355781570625899,VALID,4.998557242019235,4.934301462735502,88,1.7028082824595394
c_shape,9,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.13113670784979892,0.5111461250186539,0.025396830024891712,1.0,1.0,0.0,VALID,4.998557242019235,4.934301462735502,88,1.7028082824595394
c_shape,9,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3536705543000137,1.262426043630426,0.305975381442404,1.0,1.0,0.0,VALID,2.6134695370616647,2.5658385737588167,65,1.455038372161379
c_shape,10,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.13987809180311345,0.4234675114709187,0.10478265784929502,0.39666204105906644,0.15,0.15613480781721042,VALID,3.8738845285749486,3.8240868360030906,240,1.5642857912083663
c_shape,10,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.13987809180311345,0.4234675114709187,0.10478265784929502,0.39666204105906644,0.15,0.15613480781721042,VALID,3.8738845285749486,3.8240862653588583,88,1.5641068609027506
c_shape,10,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.13987809180311345,0.4234675114709187,0.10478265784929502,1.0,1.0,0.0,VALID,3.8738845285749486,3.8240862653588583,88,1.5641068609027506
c_shape,10,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3588760114518623,1.2190362912762502,0.34324328906760854,1.0,1.0,0.0,VALID,2.214656481101652,2.1742939591422945,65,1.3769053575753283
c_shape,11,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.13706385024041834,0.5102735734761373,0.1299302608055123,0.3856289430893054,0.15,0.1503032233038201,VALID,3.5565048379506052,3.510786948866946,220,1.5204721269625274
c_shape,11,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.13706385024041834,0.5102735734761373,0.1299302608055123,0.3856289430893054,0.15,0.1503032233038201,VALID,3.5565048379506052,3.510786447858393,88,1.5201694431751385
c_shape,11,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.13706385024041834,0.5102735734761373,0.1299302608055123,1.0,1.0,0.0,VALID,3.5565048379506052,3.510786447858393,88,1.5201694431751385
c_shape,11,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3726100678563499,1.1470164463385455,0.31968953572796255,1.0,1.0,0.0,VALID,2.4615817729512166,2.4167189921031103,65,1.4262863362916711
c_shape,12,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.13026957627749342,0.43509914907757785,0.08359203679366024,0.3921376433425442,0.15,0.15603801511342552,VALID,4.155542938230029,4.1021246102751885,238,1.6013698360552517
c_shape,12,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.13026957627749342,0.43509914907757785,0.08359203679366024,0.3921376433425442,0.15,0.15603801511342552,VALID,4.155542938230029,4.102123994139852,88,1.6011307144624674
c_shape,12,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.13026957627749342,0.43509914907757785,0.08359203679366024,1.0,1.0,0.0,VALID,4.155542938230029,4.102123994139852,88,1.6011307144624674
