scenario,seed,method,initial_layout,status,success,failure_reason,active_count,reserve_count,assignment_switch_count,plan_h_final,plan_max_arc_gap_m,boundary_runtime_ms,planning_runtime_ms,method_runtime_excluding_shared_estimator_ms,total_runtime_ms,boundary_status,curve_chamfer_m,curve_hausdorff_m,curve_hausdorff95_m,boundary_length_relative_error,confidence_mean,uncertainty_mean,coverage_ratio,max_truth_boundary_distance_m,episode_status,tracking_rmse_initial,tracking_rmse_final,convergence_time_s,path_length_m,control_energy_m2_per_s,trajectory_crossing_count,min_guide_guide_clearance_m,min_guide_crowd_clearance_m,safety_projection_count,safety_infeasible_count,control_runtime_ms,trace_memory_bytes
c_shape,0,abcg_v2,balanced_perimeter,CONVERGED,True,,9,7,0,7.8032646477573095,2.1830902546991595,48527.470600000015,0.6905999998707557,18798.977899999954,67326.44849999997,VALID,0.45979917414155386,1.79878011059345,1.7091594936570584,0.36524003242888536,0.3387732028375041,0.3550486943191499,0.5935483870967742,2.753978678312351,CONVERGED,1.2207286253191982,0.01487223294861702,3.8000000000000003,10.493252094402866,6.236321019882426,0,1.4731244920147406,0.6334219311321221,0,0,18579.141000000163,32796
c_shape,0,endpoint_abcg,balanced_perimeter,CONVERGED,True,,8,8,0,10.05915323455092,2.715551292430659,48527.470600000015,57.35139999887906,6803.847799999858,6803.847799999858,VALID,0.45979917414155386,1.79878011059345,1.7091594936570584,0.36524003242888536,0.3387732028375041,0.3550486943191499,0.44903225806451613,2.7400586754790077,CONVERGED,1.172310046751373,0.014249148811902437,3.8000000000000003,8.76063616543177,5.119894842368145,0,1.4407552515857223,0.8008503477425646,0,0,6541.816799999651,32796
c_shape,0,fixed_m_periodic,balanced_perimeter,TIMEOUT,False,,8,8,0,9.876006819817846,2.4559765365365536,48527.470600000015,0.6353999997372739,16762.330100000327,65289.80070000034,VALID,0.45979917414155386,1.79878011059345,1.7091594936570584,0.36524003242888536,0.3387732028375041,0.3550486943191499,0.5083870967741936,2.8201602314253127,TIMEOUT,1.2515406714740924,0.13364378060570642,,9.715837900692259,5.56525294668075,0,1.6120194706406128,0.6000000028640454,147,0,15649.374000000535,135708
c_shape,0,uniform_angular,balanced_perimeter,CONVERGED,True,,8,8,0,10.173534165042305,2.875289603750111,48527.470600000015,35.35100000044622,8043.560099999013,8043.560099999013,VALID,0.45979917414155386,1.79878011059345,1.7091594936570584,0.36524003242888536,0.3387732028375041,0.3550486943191499,0.21548387096774194,3.671895635192276,CONVERGED,0.962982252831689,0.014841974841372759,3.5,6.979274557163022,3.7098446373309373,0,1.3112070146725443,0.8195655042558943,0,0,7873.595199998817,30276
c_shape,0,uniform_arc,balanced_perimeter,TIMEOUT,False,,8,8,0,9.876006819817842,2.4559765365365536,48527.470600000015,0.483600000734441,21847.09919999841,70374.56979999843,VALID,0.45979917414155386,1.79878011059345,1.7091594936570584,0.36524003242888536,0.3387732028375041,0.3550486943191499,0.5083870967741936,2.8201602314253127,TIMEOUT,1.2515406714740924,0.13364378060570642,,9.715837900692259,5.56525294668075,0,1.6120194706406128,0.6000000028640454,147,0,21748.005899999043,135708
c_shape,1,abcg_v2,one_sided,TIMEOUT,False,,9,7,0,7.696017607666727,2.1730427142754767,31697.53689999925,0.6300999993982259,21467.139000000316,53164.675899999565,VALID,0.4350497943701777,1.9006846655625977,1.7997221110334205,0.36816147666133414,0.3648438589409505,0.39898513040380873,0.46838709677419355,3.206105931445903,TIMEOUT,5.32531464762051,3.7447879991370763,,22.691949476491544,15.771738463705788,0,0.3500011761654535,0.6000000009999997,149,0,21399.26109999942,135708
c_shape,1,endpoint_abcg,one_sided,TIMEOUT,False,,8,8,0,10.409839774510836,3.0333902378865814,31697.53689999925,49.252300001171534,22906.27409999979,22906.27409999979,VALID,0.4350497943701777,1.9006846655625977,1.7997221110334205,0.36816147666133414,0.3648438589409505,0.39898513040380873,0.42193548387096774,3.8679761430986503,TIMEOUT,5.299715475136382,3.6001562207064897,,21.03338236598246,14.742676097458128,0,0.3500000009224704,0.6000000009999998,149,0,21454.70010000099,135708
c_shape,1,fixed_m_periodic,one_sided,TIMEOUT,False,,8,8,0,9.7402722847032,2.44467305355991,31697.53689999925,0.6756999991921475,8616.582100001324,40314.11900000057,VALID,0.4350497943701777,1.9006846655625977,1.7997221110334205,0.36816147666133414,0.3648438589409505,0.39898513040380873,0.46064516129032257,2.7974552943110256,TIMEOUT,5.194473070878808,3.317495093053408,,22.81070933275233,16.406029120802156,0,0.350000269064995,0.6000000009651048,147,0,8545.711100001427,135708
c_shape,1,uniform_angular,one_sided,TIMEOUT,False,,8,8,0,10.5591337112311,3.113216296778334,31697.53689999925,0.6407000000763219,54436.0901,54436.0901,VALID,0.4350497943701777,1.9006846655625977,1.7997221110334205,0.36816147666133414,0.3648438589409505,0.39898513040380873,0.19483870967741934,3.4665057088368245,TIMEOUT,5.122783925219429,2.65185239082873,,24.677637292102258,17.944561369547742,0,0.4518797335407784,0.6000000009999998,147,0,54373.52920000012,135708
c_shape,1,uniform_arc,one_sided,TIMEOUT,False,,8,8,0,9.7402722847032,2.44467305355991,31697.53689999925,0.5034999994677491,9555.873600000268,41253.41049999952,VALID,0.4350497943701777,1.9006846655625977,1.7997221110334205,0.36816147666133414,0.3648438589409505,0.39898513040380873,0.46064516129032257,2.7974552943110256,TIMEOUT,5.194473070878808,3.317495093053408,,22.81070933275233,16.406029120802156,0,0.350000269064995,0.6000000009651048,147,0,9486.104999999952,135708
