label,final_evacuated,total_pedestrians,final_evacuation_rate,full_evacuation_time,mean_speed,congestion_index,near_collision_count,mean_path_length,total_path_length
baseline,149,160,0.93125,,1.0544503123042717,1.5138073468466362,246,16.68245874640839,2669.1933994253422
static,150,160,0.9375,,1.0646258728723959,1.4833535364743007,246,16.69643360990028,2671.4293775840447
random,150,160,0.9375,,1.054123468949858,1.601269828165932,246,16.699985092474314,2671.9976147958905
dbact,150,160,0.9375,,1.057805630647031,1.6103505437524563,246,16.725926648768638,2676.148263802982
