pair,source,seed,run_success,run_error,episode_status,method_status,boundary_v2_status,resource_status,coverage_ratio,max_euclidean_boundary_distance,radial_deployment_error,angular_uniformity_error,minimum_inter_guider_distance,guide_crowd_safety_violation_count,active_guide_count,periodic_max_arc_gap,episode_final_tracking_rmse,safety_projected_steps,safety_infeasible_steps
circle,synthetic,10,True,,TIMEOUT,diagnostic_only,VALID,VALID,0.9388888888888889,1.612985705985924,0.3582378911450938,0.28216334546562316,0.7850494417437318,0.0,7.0,2.3654442670549667,0.0543301682357088,400.0,0.0
circle,jupedsim,10,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9013888888888889,1.5951639275909593,0.5554393265003118,0.36470159030648813,1.0300055163086026,0.0,8.0,2.252424411954296,0.005393276109543433,36.0,0.0
circle,synthetic,11,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.172061057338188,0.38391139877183633,0.027777777777778245,1.64142943377148,0.0,0.0,,,0.0,0.0
circle,jupedsim,11,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9236111111111112,1.5693795986877583,0.5411285652341865,0.32482829740630176,1.0584913967559528,0.0,8.0,2.241113960834495,0.0018975698403259286,20.0,0.0
circle,synthetic,12,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9944444444444445,1.2947737516328932,0.5592634573219634,0.11111111111111138,1.267801100084546,0.0,0.0,,,0.0,0.0
circle,jupedsim,12,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9166666666666666,1.541358771514882,0.41037561849555565,0.34135468742662833,0.996286698597134,0.0,8.0,2.1902157516549146,0.002298716858391183,35.0,0.0
circle,synthetic,13,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9277777777777778,1.568745524689766,0.48420855631404364,0.31892220605696076,1.0339488471801535,0.0,8.0,2.241322317075097,0.0022494568240611496,35.0,0.0
circle,jupedsim,13,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9194444444444444,1.5915657936684722,0.44214145496059415,0.33574311068000406,1.0773599905185403,0.0,8.0,2.250651855356809,0.002780489010855321,34.0,0.0
circle,synthetic,14,True,,TIMEOUT,diagnostic_only,VALID,VALID,0.8944444444444445,1.794260044690031,0.5026266303279456,0.31707968133479986,0.998708470824454,0.0,7.0,2.298428118496229,0.2661754330822993,400.0,0.0
circle,jupedsim,14,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.925,1.4966363075347173,0.4453923946588482,0.3598089413681363,0.868968036519403,0.0,8.0,2.2338357332896237,0.0021323112794814003,35.0,0.0
circle,synthetic,15,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9916666666666667,1.3361497770792008,0.3694229289885949,0.11111111111111131,1.4873964885305122,0.0,0.0,,,0.0,0.0
circle,jupedsim,15,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.2266791113265167,0.45061813922079974,0.08333333333333388,1.539438572251626,0.0,0.0,,,0.0,0.0
circle,synthetic,16,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.2138318468518117,0.37616315901779646,0.08333333333333329,1.5453529626427924,0.0,0.0,,,0.0,0.0
circle,jupedsim,16,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9333333333333333,1.5369762884652203,0.4533876577754589,0.3048683310417705,0.9891076774654173,0.0,8.0,2.2399227083660573,0.0020738101071350666,7.0,0.0
circle,synthetic,17,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9402777777777778,1.4863470718680765,0.5076306647612666,0.2770935673636569,0.8990969376367284,0.0,8.0,2.190848083937283,0.0027165333335431078,33.0,0.0
circle,jupedsim,17,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.1876022178346024,0.44336391522398144,0.055555555555555886,1.6120615011306796,0.0,0.0,,,0.0,0.0
circle,synthetic,18,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9958333333333333,1.2792707992197834,0.5317168127744115,0.11111111111111181,1.3257155999686734,0.0,0.0,,,0.0,0.0
circle,jupedsim,18,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9361111111111111,1.5468028033542796,0.5331512043806178,0.31433361447499697,0.9578484809613568,0.0,8.0,2.1984927516746833,0.0022639798949580553,36.0,0.0
circle,synthetic,19,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9638888888888889,1.3894431628779687,0.4959866383961808,0.08333333333333402,1.594281244850504,0.0,0.0,,,0.0,0.0
circle,jupedsim,19,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.1626168752053212,0.3944145211585027,0.0833333333333337,1.574451614229556,0.0,0.0,,,0.0,0.0
ellipse,synthetic,0,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.8847222222222222,1.7406591673845102,0.43906535785410367,0.43067653892738433,0.7686857725200439,0.0,8.0,2.210917105761487,0.0022112132044045745,37.0,0.0
ellipse,jupedsim,0,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.2050527851019692,0.42252695582326066,0.0833333333333342,1.349793076783636,0.0,0.0,,,0.0,0.0
ellipse,synthetic,1,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9513888888888888,1.5345066672146386,0.49111688435018114,0.302861201478466,0.9218502081834486,0.0,7.0,2.382149450426308,0.0038640270896988776,32.0,0.0
ellipse,jupedsim,1,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9236111111111112,1.6240313464636795,0.4990224181435927,0.3525707840263322,0.8052776303455622,0.0,8.0,2.1974841520087534,0.002339848804565738,32.0,0.0
ellipse,synthetic,2,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.8861111111111111,1.8930165666729366,0.5084833444065399,0.31214623822048626,0.9484285371432257,0.0,7.0,2.4707650044217697,0.0021553020637678014,37.0,0.0
ellipse,jupedsim,2,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9722222222222222,1.3748283975410827,0.569320340370072,0.2872715839723814,1.0503865940100214,0.0,8.0,2.194512000223229,0.0026928293132273073,35.0,0.0
ellipse,synthetic,3,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9791666666666666,1.4220446621202485,0.474390472585743,0.05555555555555543,1.4262032153268671,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,3,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.2331824068450217,0.4540562711264344,0.11111111111111138,1.6221865043718473,0.0,0.0,,,0.0,0.0
