active_guide_count,assignment_path_sum,boundary_valid,config,coverage_ratio,crowd_distance_pinned,crowd_span,deployment_length,environment,episode_control_steps,episode_final_tracking_rmse,episode_status,extra_steps_if_linear,failure_reason,final_assignment_max,final_assignment_mean,has_episode_trace,initial_assignment_max,initial_assignment_mean,initial_tracking_rmse,last50_mean_speed,last50_projected_frac,last50_velocity_sat_frac,max_target_displacement,mean_applied_speed,minimum_guide_crowd_distance,minimum_guide_guide_distance,minimum_guide_wall_distance,nominal_sat_frac,periodic_max_arc_gap,rmse_drop,rmse_final,rmse_initial,rmse_last50_drop,rmse_last50_rel,rmse_min,safety_infeasible_steps,safety_projected_frac,safety_projected_steps,scientific_success,seed,shape,stop_reason,time_to_10pct,time_to_50pct,timeout_class,tracking_error_nonincreasing,velocity_sat_frac
10.0,50.0835296636509,True,square_circle.yaml,1.0,True,2.9631669898562993,23.087672895620187,square,108.0,0.0049705629291665054,CONVERGED,0.0,none,0.011380314883564842,0.0029655106493846994,True,8.227283075319876,5.00835296636509,5.319061737481969,0.06742943765694011,1.0,0.03,0.0,0.3863063617774939,0.8500000009999996,1.599726417203692,0.8741417305897266,0.3387345679012346,2.30876728956202,5.314091174552803,0.0049705629291665054,5.319061737481969,0.8080858348279958,0.9938865705467936,0.0049705629291665054,0.0,0.5740740740740741,62.0,True,105,circle,hold_window_satisfied,66,31,not_timeout,True,0.3387345679012346
10.0,60.98183526771223,True,square_circle.yaml,0.9986111111111111,True,3.0907011636278248,23.10214158400487,square,98.0,0.0030471069714472433,CONVERGED,0.0,none,0.006351416664930764,0.0024713975002801565,True,7.242347384825435,6.098183526771223,6.180062953821284,0.2374619214607817,0.38,0.145,0.0,0.5183970612102532,0.8500000010236297,0.8282217850969864,0.28124818304710075,0.46598639455782315,2.3102141584004876,6.177015846849836,0.0030471069714472433,6.180062953821284,1.5885717159114527,0.9980855296961567,0.0030471069714472433,0.0,0.19387755102040816,19.0,True,102,circle,hold_window_satisfied,61,32,not_timeout,True,0.46598639455782315
10.0,40.601045571092236,True,square_circle.yaml,0.9986111111111111,True,2.9491262878170312,22.77943243285492,square,94.0,0.0035286863911023606,CONVERGED,0.0,none,0.009562266471721453,0.0021086810406159406,True,6.862888894207361,4.060104557109224,4.449711534001721,0.10300520779788014,1.0,0.065,0.0,0.3598211539133963,0.8500000010000115,1.8527196473436427,0.3804322822451027,0.3067375886524823,2.2779432432854936,4.446182847610618,0.0035286863911023606,4.449711534001721,1.0896438319250135,0.9967720681484585,0.0035286863911023606,0.0,0.6170212765957447,58.0,True,101,circle,hold_window_satisfied,58,27,not_timeout,True,0.3067375886524823
10.0,46.40072591088027,True,square_circle.yaml,1.0,True,3.046252757855857,23.45066870106954,square,94.0,0.004449439035227156,CONVERGED,0.0,none,0.011731163297366214,0.002625578428091294,True,6.86564978736844,4.6400725910880265,4.77202763499439,0.11155759942041717,1.0,0.051666666666666666,0.0,0.4160977196578201,0.8500000011643283,0.9119451811642105,0.29389199599721777,0.37056737588652483,2.3450668701069546,4.767578195959163,0.004449439035227156,4.77202763499439,1.008341589411289,0.9956067550854474,0.004449439035227156,0.0,0.9361702127659575,88.0,True,100,circle,hold_window_satisfied,56,27,not_timeout,True,0.3324468085106383
10.0,50.65466784329048,True,square_circle.yaml,0.9986111111111111,True,3.0139587646973167,23.474424314861906,square,91.0,0.002862748339513091,CONVERGED,0.0,none,0.006768849115761152,0.002077192115813708,True,6.58279689810828,5.065466784329049,5.278446069572036,0.2201184732543638,0.8,0.15,0.0,0.46374252710623043,0.8500000010000268,0.8201283748432605,0.6510528283766668,0.4075091575091575,2.3474424314861935,5.2755833212325225,0.002862748339513091,5.278446069572036,1.6565483597671438,0.9982748408001321,0.002862748339513091,0.0,0.43956043956043955,40.0,True,103,circle,hold_window_satisfied,56,29,not_timeout,True,0.4075091575091575
10.0,57.71251449992051,True,square_circle.yaml,0.9972222222222222,True,3.0352372515572053,22.856457435811777,square,119.0,0.005465147931268018,CONVERGED,0.0,none,0.015287994428501808,0.003042125880330788,True,7.893785090137674,5.771251449992051,5.922134718940457,0.06914964038132944,0.9,0.016666666666666666,0.0,0.411944927819381,0.8500000010000018,0.849113815496044,0.3704334813888568,0.3858543417366947,2.2856457435811777,5.916669571009189,0.005465147931268018,5.922134718940457,0.778623036049639,0.9930299320370818,0.005465147931268018,0.0,0.865546218487395,103.0,True,109,circle,hold_window_satisfied,74,34,not_timeout,True,0.33753501400560226
10.0,44.60946177455891,True,square_circle.yaml,0.9944444444444445,True,3.041180790784931,22.859144288865345,square,104.0,0.0013514488350073453,CONVERGED,0.0,none,0.003732910711208346,0.0007364076939233406,True,7.875520641908819,4.460946177455891,4.994212046454306,0.09184619148519729,1.0,0.04666666666666667,0.0,0.35739416923166156,0.8500000010000007,0.8745858051116796,0.5404508768245289,0.30849358974358976,2.285914428886535,4.992860597619299,0.0013514488350073453,4.994212046454306,0.9517680096293455,0.9985820782242922,0.0013514488350073453,0.0,0.5288461538461539,55.0,True,106,circle,hold_window_satisfied,64,32,not_timeout,True,0.30849358974358976
10.0,45.75631420654165,True,square_circle.yaml,1.0,True,3.0721719275932284,23.268968110336097,square,115.0,0.0014906656016279894,CONVERGED,0.0,none,0.003617532989693389,0.0009052156275253449,True,6.962402465468562,4.575631420654165,4.8200458147844465,0.05489882338388661,1.0,0.006666666666666667,0.0,0.34130691845198274,0.8500000009999998,0.6000075286149339,0.7763871741058663,0.3130434782608696,2.3268968110336115,4.818555149182819,0.0014906656016279894,4.8200458147844465,0.7010137826229526,0.9978780695191393,0.0014906656016279894,0.0,0.9217391304347826,106.0,True,104,circle,hold_window_satisfied,73,30,not_timeout,True,0.2391304347826087
10.0,41.670970184938355,True,square_circle.yaml,0.9972222222222222,True,2.996261659758894,23.161435080594707,square,93.0,0.002317504452897982,CONVERGED,0.0,none,0.005346898189149183,0.0013862391044608842,True,6.773813366741056,4.167097018493836,4.618324069005635,0.153019885164158,1.0,0.08,0.0,0.37650179853195065,0.8500000010000026,0.8702030021093042,0.4554619787632781,0.3270609318996416,2.316143508059472,4.6160065645527375,0.002317504452897982,4.618324069005635,1.3573831626602,0.9982955774686656,0.002317504452897982,0.0,0.7204301075268817,67.0,True,107,circle,hold_window_satisfied,59,29,not_timeout,True,0.29838709677419356
10.0,49.474918221745504,True,square_circle.yaml,0.9958333333333333,True,2.9662998137996293,23.032801083094114,square,89.0,0.0041528786317616894,CONVERGED,0.0,none,0.012004938996075564,0.00236754765017149,True,6.342780099686516,4.94749182217455,5.132277493382978,0.2166088742106639,1.0,0.12666666666666668,0.0,0.4630648732424526,0.8500000010000011,0.7884511618637694,0.2889143543357882,0.40636704119850187,2.303280108309412,5.128124614751217,0.0041528786317616894,5.132277493382978,1.5416771212128415,0.9973134959004682,0.0041528786317616894,0.0,0.6292134831460674,56.0,True,108,circle,hold_window_satisfied,54,28,not_timeout,True,0.4044943820224719
